location,macro_suburb,property_percentile,taxi_routes,civic_responsiveness_percentile,healthcare_facilities_5km,median_gv,region,safety_score,school_count,risk_profile
Helderberg Estate,Somerset Central,90.1,3,67,3,3750000,helderberg,75,0,Lower reported crime
Helderrand,Somerset Central,67.7,0,48,0,1979661.017,helderberg,50,0,Moderate reported crime
Heldervue,Somerset Central,78.5,3,68,3,2750000,helderberg,75,0,Lower reported crime
Helena Heights,Somerset Central,90.1,10,68,3,2750000,helderberg,75,0,Lower reported crime
Heritage Park,unknown,69.7,0,68,8,1750000,helderberg,75,1,Lower reported crime
High Constantia,unknown,69.7,0,46,0,1878183.962,Southern suburbs,50,0,Moderate reported crime
High Riding,Somerset Central,92.8,0,4,3,3250000,helderberg,75,0,Lower reported crime
Highbury Park,Kuils River,29.7,10,69,7,7.00E+05,Northern Suburb,29,0,Higher reported crime
Hoheizen,Bellville,74.8,8,29,11,2250000,Northern Suburb,43,0,Moderate reported crime
Hyde Park,unknown,69.7,0,46,0,1878183.962,cape flats,50,0,Moderate reported crime
Illaire,Somerset Central,76.8,8,29,2,2250000,helderberg,75,0,Lower reported crime
Imhoffs Gift,Kommetjie,85.1,0,71,0,2750000,S penisula,50,0,Moderate reported crime
Jacarandas,Kuils River,53,0,69,3,1750000,Northern Suburb,29,0,Higher reported crime
Joostenbergvlakte Smallholdings,unknown,74.2,2,3,6,2750000,Northern Suburb,19,0,Higher reported crime
Kaapzicht,unknown,71.8,10,70,11,2250000,Northern Suburb,42,0,Moderate reported crime
Kelderhof,Country/Eco Estates,75.9,1,10,3,2750000,helderberg,88,0,Lower reported crime
Kempenville,Bellville,48.3,37,30,13,9.00E+05,Northern Suburb,43,1,Moderate reported crime
Kenever,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Kenilworth,Claremont & Kenilworth,80.1,12,70,17,1750000,Southern suburbs,57,4,Moderate reported crime
Kenridge,Durbanville,79.8,0,70,5,2750000,Northern Suburb,61,1,Moderate reported crime
Kensington,Other,37.8,8,70,14,9.00E+05,Northern Suburb,72,5,Lower reported crime
Kenwyn,Wynberg,54,0,98,0,1250000,Southern suburbs,50,0,Moderate reported crime
Khaya,Khayelitsha,9.9,4,10,19,3.00E+05,cape flats,50,5,No data
Kirstenhof,Tokai & Steenberg,77.6,3,31,7,2250000,Southern suburbs,24,1,Higher reported crime
Klein Nederburg,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Kleinbosch,Parow,76.9,2,71,3,2750000,Northern Suburb,88,0,Lower reported crime
Kleinbron,unknown,66.3,0,71,9,2250000,Northern Suburb,87,0,Lower reported crime
Klipdam,Kuils River,59.2,16,31,6,7.00E+05,Northern Suburb,29,1,Higher reported crime
Klipheuwel Housing Scheme,unknown,2.1,2,10,0,1.00E+05,Northern Suburb,12,0,Higher reported crime
Klipkop,unknown,44.9,38,71,19,1250000,Northern Suburb,42,1,Moderate reported crime
Kommetjie,Kommetjie,85.1,3,71,2,2750000,S penisula,57,3,Moderate reported crime
Kraaifontein East,Kraaifontein,47,23,2,7,1215454.545,Northern Suburb,19,2,Higher reported crime
Kuilsrivier South Smallholdings,Kuils River,12.3,3,72,9,5.00E+05,Northern Suburb,29,1,Higher reported crime
Kuyasa,unknown,2.1,2,11,10,1.00E+05,cape flats,3,4,Higher reported crime
La Concorde,Briza ,93.8,3,72,3,4250000,helderberg,75,0,Lower reported crime
La Montagne,unknown,82.7,4,72,1,3250000,helderberg,75,0,Lower reported crime
La Sandra,Briza ,92.1,1,72,3,3750000,helderberg,75,0,Lower reported crime
Labiance,unknown,53.4,31,31,12,1250000,Northern Suburb,43,2,Moderate reported crime
Lagoon Beach,Milnerton,77.1,57,72,10,2322463.768,Blaauwbergstrand,7,0,Higher reported crime
Lake Michelle Security and Eco Estate,Kommetjie,85.1,0,71,0,2750000,S penisula,50,0,Moderate reported crime
Langeberg Hoogte,Kraaifontein,60.1,13,72,9,1750000,Northern Suburb,19,0,Higher reported crime
Langeberg Ridge,Kraaifontein,56.4,13,73,9,1250000,Northern Suburb,19,0,Higher reported crime
Lansdowne,unknown,50.7,39,73,22,1250000,Southern suburbs,34,12,Moderate reported crime
Lentegeur,Mitchells Plain,17.7,51,73,22,5.00E+05,cape flats,46,11,Moderate reported crime
Lochnerhof,Strand,91.2,0,67,0,1687500,helderberg,50,0,Moderate reported crime
Loevenstein,Bellville,81.3,2,73,13,1750000,Northern Suburb,43,0,Moderate reported crime
